688 86.43 14.1163 2.02629 5.88794e-05 2.02685 0.0027157 6.6846 -7.294e-05 6.75343 0.0187027 23.3099
704 88.44 14.2478 6.68397 0.000103903 6.66284 0.00222351 2.02623 6.89898e-05 1.99964 0.0176348 -23.5266
720 90.45 14.3792 2.02589 4.76476e-05 2.01858 -0.000885156 6.68377 5.12557e-05 6.53766 -0.00462242 23.7432
736 92.46 14.5107 6.68339 -0.000141395 6.67365 -0.0030386 2.02603 -5.38135e-06 2.01687 -0.0213943 -23.9599
752 94.47 14.6422 2.02641 -0.000140029 2.02985 -0.00154943 6.68385 -0.000130196 6.7993 -0.0127404 24.1766
768 96.48 14.7737 6.68511 -4.49642e-05 6.69259 0.00169212 2.02651 -7.83437e-05 2.06407 0.0111517 -24.3932
784 98.49 14.9052 2.02657 0.000124774 2.02356 0.00294917 6.68481 -5.03529e-06 6.66291 0.0216474 24.6099
800 100.5 15.0367 6.6836 7.50815e-05 6.65656 0.000617849 2.02652 9.49772e-05 1.98378 0.00636098 -24.8266
816 102.51 15.1682 2.02628 -4.37739e-05 2.02123 -0.00240933 6.68366 1.23277e-05 6.58522 -0.0165412 25.0432
832 104.52 15.2997 6.68414 -0.00017867 6.68602 -0.00264781 2.02646 -6.50177e-05 2.04502 -0.0196454 -25.2599
848 106.53 15.4311 2.02694 -8.09154e-05 2.03107 0.000280084 6.68446 -0.000131908 6.82539 0.000548689 25.4766
864 108.54 15.5626 6.68514 4.73826e-05 6.68257 0.00277884 2.02695 -2.22239e-05 2.04318 0.0200024 -25.6932
880 110.55 15.6941 2.02675 0.000138219 2.02074 0.00199637 6.68474 4.91577e-05 6.58071 0.0154889 25.9099
896 112.56 15.8256 6.68346 6.04601e-07 6.6582 -0.00121722 2.02676 8.06508e-05 1.98553 -0.00735399 -26.1265
912 114.57 15.9571 2.02674 -0.000119331 2.02521 -0.00293682 6.68377 -4.66236e-05 6.6709 -0.0213526 26.3432
928 116.58 16.0886 6.68492 -0.000158644 6.6941 -0.00124108 2.02692 -0.000100227 2.0647 -0.00987266 -26.5599
944 118.59 16.2201 2.02732 8.93362e-06 2.02986 0.0019276 6.685 -9.49724e-05 6.79133 0.0131222 26.7765
960 120.6 16.3516 6.68482 0.000106249 6.6705 0.00271354 2.02727 4.09998e-05 2.01631 0.0203443 -26.9932
976 122.61 16.483 2.02692 9.41954e-05 2.01974 0.00031028 6.6845 6.94576e-05 6.54267 0.0033218 27.2099
992 124.62 16.6145 6.68368 -8.78229e-05 6.66677 -0.00249617 2.027 3.21251e-05 2.00354 -0.0173996 -27.4265
1008 126.63 16.746 2.02724 -0.000148465 2.02898 -0.0022976 6.68412 -0.000100285 6.75565 -0.0173311 27.6432
1024 128.64 16.8775 6.6855 -8.80917e-05 6.69481 0.00054152 2.02737 -9.67286e-05 2.0681 0.00325552 -27.8599
1040 130.65 17.009 2.02756 9.34649e-05 2.02702 0.0027224 6.68531 -3.29394e-05 6.71538 0.0196318 28.0765
1056 132.66 17.1405 6.68436 0.000109471 6.66153 0.00159896 2.02748 8.60658e-05 1.99537 0.0125845 -28.2932
1072 134.67 17.272 2.02715 1.07616e-05 2.021 -0.00136842 6.68426 4.91742e-05 6.56192 -0.00927771 28.5099
1088 136.68 17.4035 6.68424 -0.000153297 6.67832 -0.00273668 2.02729 -3.08196e-05 2.02929 -0.0198076 -28.7265
1104 138.69 17.5349 2.02771 -0.000119445 2.03117 -0.000839918 6.68465 -0.000125825 6.80405 -0.00684282 28.9432
1120 140.7 17.6664 6.6857 5.76137e-06 6.68851 0.00195201 2.02776 -5.58803e-05 2.05523 0.0139882 -29.1598
1136 142.71 17.7979 2.02768 0.000138921 2.02396 0.00241678 6.68533 3.04427e-05 6.63264 0.0178873 29.3765
1152 144.72 17.9294 6.68401 5.7117e-05 6.65901 -2.59666e-05 2.02764 9.50983e-05 1.9886 0.000644615 -29.5932
1168 146.73 18.0609 2.02747 -7.83433e-05 2.02396 -0.0023717 6.68418 -2.2688e-06 6.62535 -0.017083 29.8098
1184 148.74 18.1924 6.68498 -0.000168484 6.68802 -0.00193971 2.02764 -8.27485e-05 2.05172 -0.014316 -30.0265
1200 150.75 18.3239 2.02809 -4.39259e-05 2.03122 0.000780639 6.6852 -0.000111969 6.79997 0.00519957 30.2432
1216 152.76 18.4554 6.68552 8.63179e-05 6.6784 0.00247379 2.02805 5.98299e-06 2.03304 0.018207 -30.4598
1232 154.77 18.5868 2.02776 0.00012733 2.02203 0.00124459 6.68513 7.08322e-05 6.57731 0.00945753 30.6765
1248 156.78 18.7183 6.68397 -2.86557e-05 6.66327 -0.00147066 2.02778 6.47099e-05 1.99734 -0.0102126 -30.8932
1264 158.79 18.8498 2.02786 -0.000137289 2.02741 -0.00238257 6.68434 -6.31764e-05 6.70268 -0.0174864 31.1098
1280 160.8 18.9813 6.68565 -0.000126447 6.69236 -0.000529839 2.02801 -0.000102772 2.06239 -0.00401609 -31.3265
1296 162.81 19.1128 2.02833 4.78712e-05 2.02946 0.0019184 6.6856 -6.33996e-05 6.75114 0.0138143 31.5431
1312 164.82 19.2443 6.68507 0.000122319 6.66887 0.00201105 2.02824 6.41755e-05 2.0115 0.0150075 -31.7598
1328 166.83 19.3758 2.02787 6.35915e-05 2.02193 -0.000239335 6.68482 7.30495e-05 6.56801 -0.00150694 31.9765
1344 168.84 19.5073 6.6843 -0.000112562 6.67188 -0.00220231 2.02796 7.26675e-06 2.01639 -0.0158337 -32.1931
1360 170.85 19.6387 2.02828 -0.000142466 2.03008 -0.00152087 6.68474 -0.000108293 6.76176 -0.0112621 32.4098
1376 172.86 19.7702 6.68604 -4.32651e-05 6.6904 0.000878348 2.02836 -8.28505e-05 2.05873 0.00643151 -32.6265
1392 174.87 19.9017 2.02844 0.000119332 2.02689 0.00220346 6.68576 1.23294e-06 6.68254 0.0160804 32.8431
1408 176.88 20.0332 6.68459 0.000100307 6.66347 0.000870039 2.02835 9.55621e-05 1.999 0.00662687 -33.0598
1424 178.89 20.1647 2.02806 -2.66142e-05 2.02356 -0.00143189 6.68459 3.71014e-05 6.60214 -0.0103957 33.2765
1440 180.9 20.2962 6.68492 -0.000160311 6.68103 -0.00204118 2.02821 -5.41301e-05 2.03707 -0.0147589 -33.4931
1456 182.91 20.4277 2.02865 -9.18279e-05 2.03117 -0.000231556 6.68526 -0.000118871 6.78233 -0.00174487 33.7098
1472 184.92 20.5592 6.68605 4.85244e-05 6.68377 0.0017572 2.02865 -3.09272e-05 2.04425 0.0129734 -33.9264
